Date,Portfolio_Value
2020-07-24,1.0
2020-07-27,1.0029015383549833
2020-07-28,0.996076713843409
2020-07-29,1.012147976276804
2020-07-30,1.0040801006689903
2020-07-31,0.9973774514671221
2020-08-03,1.0001155906922414
2020-08-04,1.0042895660593458
2020-08-05,1.0144086487590989
2020-08-06,1.0138307115114231
2020-08-07,1.0269701757034038
2020-08-10,1.0429936434789222
2020-08-11,1.0387303881651826
2020-08-12,1.0459599729603233
2020-08-13,1.039687844790863
2020-08-14,1.0439835666119242
2020-08-17,1.0454439025361657
2020-08-18,1.039049254088316
2020-08-19,1.0362501084113247
2020-08-20,1.0283101328669313
2020-08-21,1.026185747599541
2020-08-24,1.0449705407050571
2020-08-25,1.0451461534125217
2020-08-26,1.0424053206592703
2020-08-27,1.0466770527761304
2020-08-28,1.0568358240519355
2020-08-31,1.045194667201212
2020-09-01,1.0513390297201548
2020-09-02,1.0714679647581156
2020-09-03,1.0468884457921366
2020-09-04,1.046568876824904
2020-09-08,1.0214171496876354
2020-09-09,1.0325576538783625
2020-09-10,1.01632250993411
2020-09-11,1.0201214039084565
2020-09-14,1.0396353247403978
2020-09-15,1.0403011910152515
2020-09-16,1.0498219235753292
2020-09-17,1.0432497925674151
2020-09-18,1.0305175918595149
2020-09-21,1.0056353301131133
2020-09-22,1.0103651535328495
2020-09-23,0.9903636271313081
2020-09-24,0.9923040971417176
2020-09-25,1.0041471134287994
2020-09-28,1.0245263669260776
2020-09-29,1.0147092215638185
2020-09-30,1.0226823129778677
2020-10-01,1.027245767353046
2020-10-02,1.033778771594102
2020-10-05,1.057290594033002
2020-10-06,1.0431050810450968
2020-10-07,1.06438419945093
2020-10-08,1.0797884220813738
2020-10-09,1.082919757282955
2020-10-12,1.0916011381347752
2020-10-13,1.0784555086057073
2020-10-14,1.0725954196126264
2020-10-15,1.0731971031878733
2020-10-16,1.0741334001367402
2020-10-19,1.0594818373996113
2020-10-20,1.0652348794015818
2020-10-21,1.0628862186414074
2020-10-22,1.0732718364334664
2020-10-23,1.077011521462164
2020-10-26,1.0537098799129845
2020-10-27,1.0383412136169299
2020-10-28,1.0078830196837443
2020-10-29,1.0263318102084338
2020-10-30,1.0240220812262135
2020-11-02,1.0514764348281629
2020-11-03,1.0751206757663736
2020-11-04,1.0736727970473228
2020-11-05,1.0974173166804833
2020-11-06,1.0936808055136846
2020-11-09,1.1479059857908709
2020-11-10,1.15907049647852
2020-11-11,1.1516927098942868
2020-11-12,1.1370084670982037
2020-11-13,1.1638200883651824
2020-11-16,1.188787420310147
2020-11-17,1.186575789960917
2020-11-18,1.173959281760197
2020-11-19,1.1788555276765094
2020-11-20,1.1725045472567774
2020-11-23,1.1919514762070025
2020-11-24,1.2172970038586624
2020-11-25,1.207086451471114
2020-11-27,1.206680179840219
2020-11-30,1.1895474839354885
2020-12-01,1.2057582274612284
2020-12-02,1.209109050466005
2020-12-03,1.2142780569663394
2020-12-04,1.2312820461601521
2020-12-07,1.2287601911928367
2020-12-08,1.2309478213570928
2020-12-09,1.2302147088178201
2020-12-10,1.2258309037999353
2020-12-11,1.2166237516644576
2020-12-14,1.202551670582051
2020-12-15,1.2205650251611675
2020-12-16,1.2178911664063703
2020-12-17,1.2239551358144312
2020-12-18,1.214786067051061
2020-12-21,1.2120740981189797
2020-12-22,1.2078637432699155
2020-12-23,1.2168012274567823
2020-12-24,1.2206496461614735
2020-12-28,1.2241205067199383
2020-12-29,1.2180873039880933
2020-12-30,1.2295231411718004
2020-12-31,1.2381783359359575
2021-01-04,1.2189432421581625
2021-01-05,1.230792450433845
2021-01-06,1.26773141120525
2021-01-07,1.282439897431413
2021-01-08,1.2809389775659508
2021-01-11,1.2831236549586322
2021-01-12,1.2948408471748798
2021-01-13,1.2890336614012787
2021-01-14,1.3011826261600012
2021-01-15,1.28970621808403
2021-01-19,1.3054727367519698
2021-01-20,1.313250612207058
2021-01-21,1.3047545540661043
2021-01-22,1.3003978195286194
2021-01-25,1.2938455137936524
2021-01-26,1.281010906926955
2021-01-27,1.2454255655117081
2021-01-28,1.269460155861985
2021-01-29,1.2416733833302787
2021-02-01,1.2601188440698994
2021-02-02,1.2764017601116824
2021-02-03,1.2796959054584167
2021-02-04,1.2964560279077222
2021-02-05,1.3033347547933263
2021-02-08,1.3256686097407122
2021-02-09,1.324150977399477
2021-02-10,1.331202048168488
2021-02-11,1.3402151581794728
2021-02-12,1.3451669211788322
2021-02-16,1.3504956543173205
2021-02-17,1.3479162603050459
2021-02-18,1.3370820554638823
2021-02-19,1.3511546414421893
2021-02-22,1.354267647517308
2021-02-23,1.3600723895535665
2021-02-24,1.3869253269686692
2021-02-25,1.3510842832745935
2021-02-26,1.3433393176993627
2021-03-01,1.372793664764422
2021-03-02,1.360857694716674
2021-03-03,1.3522155740592874
2021-03-04,1.3335263263706347
2021-03-05,1.3654982048246245
2021-03-08,1.3746766447296461
2021-03-09,1.3771931577289496
2021-03-10,1.3868144004256995
2021-03-11,1.3994674254413983
2021-03-12,1.410852640214977
2021-03-15,1.4204570937450736
2021-03-16,1.4013715843627825
2021-03-17,1.4123450113058602
