Date,Portfolio Return
2020-07-27,0.002897337017503137
2020-07-28,-0.006828339449945009
2020-07-29,0.016005784225772285
2020-07-30,-0.008002982163351826
2020-07-31,-0.006697793067531285
2020-08-03,0.0027415774497050608
2020-08-04,0.004164808084228328
2020-08-05,0.01002543855301402
2020-08-06,-0.0005698905904678481
2020-08-07,0.012876950254917674
2020-08-10,0.015482191226893146
2020-08-11,-0.004095894757507839
2020-08-12,0.006935911358976764
2020-08-13,-0.0060145792822781955
2020-08-14,0.004123229683455262
2020-08-17,0.0013978337928340658
2020-08-18,-0.006135466060415876
2020-08-19,-0.002697584189549424
2020-08-20,-0.007691724883028413
2020-08-21,-0.0020680362951462448
2020-08-24,0.01813992339846721
2020-08-25,0.00016804105567136835
2020-08-26,-0.002625884307229379
2020-08-27,0.004089583182352264
2020-08-28,0.009658938024934649
2020-08-31,-0.011076219791210262
2020-09-01,0.005861465636983845
2020-09-02,0.018965019810585335
2020-09-03,-0.02320725822807601
2020-09-04,-0.00030530258846204344
2020-09-08,-0.024326051638005153
2020-09-09,0.010847857937389419
2020-09-10,-0.01584815357825136
2020-09-11,0.003730913829888092
2020-09-14,0.018948358720250077
2020-09-15,0.0006402755974114685
2020-09-16,0.00911027522060188
2020-09-17,-0.006279911534928789
2020-09-18,-0.012279449265511798
2020-09-21,-0.024441681347937543
2020-09-22,0.004692292622333985
2020-09-23,-0.01999490682438256
2020-09-24,0.001957434023095919
2020-09-25,0.011864206990931572
2020-09-28,0.0200918868953162
2020-09-29,-0.009628334518041175
2020-09-30,0.007826804009643716
2020-10-01,0.004452314164040334
2020-10-02,0.006339590817994691
2020-10-05,0.022488793278899286
2020-10-06,-0.01350767271424994
2020-10-07,0.02019449566319044
2020-10-08,0.014368701012160166
2020-10-09,0.0028957558117031243
2020-10-12,0.007984680205744244
2020-10-13,-0.012115619516569979
2020-10-14,-0.005448595766530657
2020-10-15,0.0005608031388149667
2020-10-16,0.0008720567297431164
2020-10-19,-0.013734241102365714
2020-10-20,0.005415362919698189
2020-10-21,-0.0022072632200231066
2020-10-22,0.009723718334300621
2020-10-23,0.003478321855039562
2020-10-26,-0.02187293987381231
2020-10-27,-0.01469270307896899
2020-10-28,-0.02977234188712009
2020-10-29,0.0181389852145192
2020-10-30,-0.0022530061458088156
2020-11-02,0.026457214822114362
2020-11-03,0.022237606901781528
2020-11-04,-0.001347620379986495
2020-11-05,0.02187423382638975
2020-11-06,-0.0034106320944760275
2020-11-09,0.04839050747537403
2020-11-10,0.009678987136220127
2020-11-11,-0.006385605962190516
2020-11-12,-0.01283212019068399
2020-11-13,0.023307112486122016
2020-11-16,0.02122603898370232
2020-11-17,-0.001862141316956245
2020-11-18,-0.010689634304128216
2020-11-19,0.0041620385630299584
2020-11-20,-0.0054019764404532175
2020-11-23,0.016449760346381907
2020-11-24,0.021040970195149944
2020-11-25,-0.008423265499616946
2020-11-27,-0.00033662876059463697
2020-11-30,-0.014299966665766252
2020-12-01,0.01353563426160275
2020-12-02,0.002775162996279287
2020-12-03,0.004265941931761371
2020-12-04,0.013906232110297028
2020-12-07,-0.002050254107362385
2020-12-08,0.0017787727079029158
2020-12-09,-0.0005957449392040801
2020-12-10,-0.0035698112859140737
2020-12-11,-0.00753929717943136
2020-12-14,-0.011633914326013895
2020-12-15,0.01486819553545572
2020-12-16,-0.0021930759598817024
2020-12-17,0.004966718722787431
2020-12-18,-0.007519544883949116
2020-12-21,-0.002234961947847336
2020-12-22,-0.003479724995800285
2020-12-23,0.007372172876083727
2020-12-24,0.0031577431522160897
2020-12-28,0.00283941857380726
2020-12-29,-0.004940787576406558
2020-12-30,0.009344559238767654
2020-12-31,0.007014811423655245
2021-01-04,-0.015656927103298926
2021-01-05,0.009673942148566001
2021-01-06,0.029570782184004545
2021-01-07,0.01153542060162967
2021-01-08,-0.0011710481440150894
2021-01-11,0.0017040753167555588
2021-01-12,0.009090329128317717
2021-01-13,-0.00449495169519572
2021-01-14,0.009380725391409519
2021-01-15,-0.008859108842682695
2021-01-19,0.012150771044472273
2021-01-20,0.005940221466432542
2021-01-21,-0.006490505119135662
2021-01-22,-0.0033447092333161606
2021-01-25,-0.005051430283121241
2021-01-26,-0.009969265130167463
2021-01-27,-0.028172246065420806
2021-01-28,0.01911444477871302
2021-01-29,-0.022131763434167416
2021-02-01,0.01474606466357091
2021-02-02,0.012838957180726958
2021-02-03,0.0025774814591804983
2021-02-04,0.01301193357697611
2021-02-05,0.005291766540085699
2021-02-08,0.01699076732703587
2021-02-09,-0.0011454610076386594
2021-02-10,0.005310847389497639
2021-02-11,0.006747837207357006
2021-02-12,0.0036879434400052236
2021-02-16,0.003953566093846088
2021-02-17,-0.001911787287865688
2021-02-18,-0.008070220065852169
2021-02-19,0.01046984779625946
2021-02-22,0.0023013098263459705
2021-02-23,0.004277099262511554
2021-02-24,0.01955137613708114
2021-02-25,-0.026181859205754675
2021-02-26,-0.005748900732056312
2021-03-01,0.021689292769523246
2021-03-02,-0.008732676066373277
2021-03-03,-0.0063707456678061755
2021-03-04,-0.01391760642370957
2021-03-05,0.023692540510283248
2021-03-08,0.006699188727455486
2021-03-09,0.0018289482289779808
2021-03-10,0.006961834476785061
2021-03-11,0.009082435149076633
2021-03-12,0.008102477151543103
2021-03-15,0.006784485819653289
2021-03-16,-0.01352725667741362
2021-03-17,0.0077999913673360444
2021-03-18,-0.010292429987369664
2021-03-19,-0.0035995273526605175
2021-03-22,-0.003719371568626515
2021-03-23,-0.017513193373982938
2021-03-24,0.0005017190393285867
2021-03-25,0.012540384773887994
2021-03-26,0.019362748048449348
2021-03-29,-0.008667345478696686
2021-03-30,0.006926967929746123
2021-03-31,-0.002542581501812539
2021-04-01,0.011700468550651539
2021-04-05,0.014395963944085726
2021-04-06,-0.0016535052018621446
2021-04-07,-0.0016991094864276363
2021-04-08,0.002801475862917685
2021-04-09,0.00825409612363879
2021-04-12,0.0004516957420217038
2021-04-13,-0.0030881434776190747
2021-04-14,0.002317717859442362
2021-04-15,0.006038846991794067
2021-04-16,0.004197883316568791
2021-04-19,-0.007415211592338699
2021-04-20,-0.012862671079153778
2021-04-21,0.013453466863998596
2021-04-22,-0.0065518974560365715
2021-04-23,0.012476968200535198
2021-04-26,0.0022370679334398173
2021-04-27,0.0025116614214760183
2021-04-28,0.0007160014509243433
2021-04-29,0.007688254588114751
2021-04-30,-0.005692009202518625
2021-05-03,0.0061826714237316035
2021-05-04,-0.00193106389556729
2021-05-05,0.00521025636753669
2021-05-06,0.0072958724499594535
2021-05-07,0.012689743884112408
2021-05-10,-0.00768792285136992
2021-05-11,-0.011479790578332944
2021-05-12,-0.025701684743007856
2021-05-13,0.01757717997604234
2021-05-14,0.01743221111287537
2021-05-17,-0.0006811816182082169
2021-05-18,-0.012065006123726076
2021-05-19,-0.004902206864712581
2021-05-20,0.005272558897191507
2021-05-21,0.0012957664251795292
2021-05-24,0.006792637189641626
2021-05-25,-0.005063225489976429
2021-05-26,0.005671997990007322
2021-05-27,0.007201198446097447
2021-05-28,0.0013632996137784923
2021-06-01,0.006295567675931373
2021-06-02,-0.0038509603467929243
2021-06-03,-0.0008674974130700862
2021-06-04,0.0030803762792678685
2021-06-07,-0.0015778050280657225
2021-06-08,0.002362784645938351
2021-06-09,-0.007319094202434044
2021-06-10,-0.000843207514798228
2021-06-11,0.0036070577936893476
2021-06-14,-0.00409325199477452
2021-06-15,0.001786441576140418
2021-06-16,-0.006418151941659816
2021-06-17,-0.014385021882306668
2021-06-18,-0.019868026165253537
2021-06-21,0.021456727152963904
2021-06-22,0.0011427410796435375
2021-06-23,-2.7989803314758296e-05
2021-06-24,0.009829033453635679
2021-06-25,0.004199565555120352
