Date,AFL,AON,APA,APD,BA,BKNG,BKR,CI,CINF,CMI,COF,D,DVA,EA,ECL,ED,EQR,ESS,ETN,GM,GOOGL,HST,INTU,KLAC,KMB,KR,L,LLY,LRCX,MAS,MLM,MMM,NDAQ,NOW,PM,PWR,RF,ROP,ROST,RVTY,SO,TFC,TGT,TPR,TXN,TXT,ULTA,URI,VRTX,ZBH
2020-07-24,31.941808700561523,198.1464080810547,12.120622634887695,251.9420166015625,173.75999450683594,66.6364974975586,13.988627433776855,163.7493133544922,71.62007141113281,163.65451049804688,58.82682037353516,61.99225234985352,87.33000183105469,131.24461364746094,196.9308319091797,60.95277404785156,42.9840087890625,172.83877563476562,84.32665252685547,25.21236801147461,74.7477035522461,8.270408630371094,276.6742553710937,17.643220901489258,117.82799530029295,30.549776077270508,36.02956771850586,149.38848876953125,32.46425247192383,48.85844802856445,215.14588928222656,108.1618423461914,40.07963943481445,85.03800201416016,57.55394744873047,40.233524322509766,8.570469856262207,400.1802368164063,81.15172576904297,108.83670043945312,43.709434509277344,28.655872344970703,104.64118194580078,11.832303047180176,109.61951446533205,34.11777877807617,203.7100067138672,155.1422119140625,278.489990234375,123.8986358642578
2020-07-27,31.646455764770508,198.00294494628903,11.685301780700684,254.6988983154297,170.2100067138672,66.69641876220703,13.954445838928224,158.75595092773438,70.94888305664062,166.01925659179688,59.44169616699219,61.84576416015625,88.48999786376953,132.13743591308594,198.78707885742188,60.29147720336914,42.18507766723633,171.57958984375,85.78602600097656,24.68410301208496,75.79936218261719,8.128629684448242,283.8335876464844,18.47377586364746,117.8599624633789,30.59378433227539,35.453033447265625,150.28749084472656,33.62490463256836,50.47503280639648,219.33050537109372,110.46257019042967,40.07041931152344,86.76200103759766,58.819618225097656,40.62912368774414,8.327169418334961,405.4130554199219,80.17215728759766,113.37278747558594,43.2392578125,27.84341049194336,103.77839660644533,11.990418434143066,111.7251434326172,33.94893264770508,198.83999633789065,157.46624755859375,284.2099914550781,124.01873016357422
2020-07-28,31.52483558654785,196.77865600585935,11.369484901428224,249.9974822998047,170.83999633789062,65.87077331542969,13.561363220214844,158.98208618164062,71.76636505126953,169.54898071289062,57.95881652832031,63.26432037353516,87.98999786376953,130.7982177734375,181.61209106445312,61.58181381225586,43.23712921142578,175.99496459960938,84.08345031738281,25.289201736450195,74.52169036865234,8.286161422729492,284.45654296875,18.042560577392575,120.57894897460938,31.00746154785156,35.550750732421875,152.30064392089844,32.76568603515625,49.20163345336914,204.32366943359372,105.1099624633789,39.339805603027344,87.00800323486328,58.39273452758789,39.53130722045898,8.272232055664062,407.7161865234375,80.88797760009766,111.4202880859375,44.05208587646485,27.995281219482425,104.28594207763672,11.867439270019531,110.04232025146484,33.96879577636719,197.55999755859372,152.6831512451172,278.5199890136719,123.94480895996094
2020-07-29,31.707252502441406,196.8360748291016,11.651159286499023,249.6344146728516,166.00999450683594,66.88091278076172,13.51009464263916,164.45489501953125,71.80078887939453,172.90481567382812,60.02039337158203,63.41851425170898,91.3000030517578,131.9142303466797,182.6527404785156,61.85600280761719,42.390743255615234,176.89901733398438,87.28137969970703,24.866594314575195,75.50596618652344,8.679991722106934,289.6128845214844,18.291921615600582,121.5865707397461,30.90183448791504,36.51817321777344,151.45790100097656,33.883140563964844,50.88143539428711,205.9878845214844,105.73251342773438,40.21777725219727,89.14199829101562,58.70726013183594,40.698360443115234,8.66464900970459,421.2748718261719,83.28974151611328,117.97791290283205,44.13975143432617,29.111440658569336,104.61579895019533,12.183669090270996,111.31920623779295,34.038333892822266,203.0200042724609,157.59161376953125,278.7200012207031,128.95208740234375
2020-07-30,30.656139373779297,198.3950653076172,13.665573120117188,246.1429443359375,161.9499969482422,66.10537719726562,13.099918365478516,161.4425811767578,68.67713928222656,169.0794677734375,58.62790298461914,62.8480110168457,91.12000274658205,134.4956512451172,179.10902404785156,62.04957962036133,42.675514221191406,178.0856475830078,85.09237670898438,24.2038688659668,76.24243927001953,8.538212776184082,291.2995300292969,18.55158424377441,121.52259826660156,30.285741806030277,35.69733047485352,143.26470947265625,35.54616928100586,51.50457000732422,201.24534606933597,102.9377899169922,39.87701416015625,86.27999877929688,58.00331115722656,39.679664611816406,8.437047004699707,417.0732421875,83.77953338623047,117.15943145751952,44.020206451416016,28.276220321655277,105.37708282470705,11.682971000671388,109.7440414428711,34.90243911743164,198.6100006103516,151.31382751464844,279.3999938964844,127.7696304321289
2020-07-31,30.89937400817871,196.69857788085935,13.102218627929688,247.71583557128903,158.0,65.10228729248047,13.236644744873049,156.21405029296875,67.05937957763672,168.01882934570312,57.68756484985352,62.4702262878418,87.38999938964844,137.43617248535156,175.38714599609375,61.96086502075195,42.42237854003906,178.18252563476562,83.8942642211914,23.906126022338867,73.74361419677734,8.49095344543457,293.6285400390625,18.73250770568848,121.5865707397461,30.62020301818848,35.58005905151367,140.7270965576172,35.41657638549805,51.621978759765625,199.30218505859372,101.8212661743164,40.30986022949219,87.83999633789062,57.52398300170898,39.53130722045898,8.523377418518066,416.7359924316406,84.45768737792969,117.25804138183594,43.51816940307617,28.44326400756836,106.47667694091795,11.735676765441896,108.60305786132812,34.703792572021484,192.9900054931641,149.82872009277344,272.0,124.5915298461914
2020-08-03,30.716949462890625,191.9157867431641,13.41804027557373,240.61184692382807,162.27000427246094,64.63658905029297,13.356279373168944,156.49447631835938,67.46381378173828,169.80111694335938,57.407264709472656,61.93056106567383,87.20999908447266,138.15426635742188,172.88404846191406,61.21890640258789,41.3940544128418,172.93568420410156,85.46173095703125,24.62647819519043,73.48638916015625,8.120755195617676,298.7369384765625,19.4655704498291,121.23473358154295,30.893035888671875,34.78852081298828,143.11489868164062,35.815670013427734,52.12772750854492,200.16796875,101.78067779541016,40.015174865722656,87.99199676513672,57.31428146362305,40.74781036376953,8.44489574432373,419.3861389160156,82.77173614501953,120.0783233642578,43.04003143310547,28.67864799499512,108.13455200195312,11.71810817718506,110.11014556884766,35.65729904174805,191.2899932861328,153.93682861328125,279.5199890136719,125.3860321044922
2020-08-04,30.456336975097656,191.3502655029297,13.554610252380373,241.6230010986328,165.07000732421875,65.61148071289062,13.834814071655272,156.94676208496094,66.65495300292969,167.80152893066406,57.18120956420898,62.354591369628906,83.56999969482422,141.99732971191406,177.477783203125,61.21085357666016,42.28791809082031,172.9599151611328,85.26354217529297,24.7801513671875,73.01753997802734,8.593347549438477,297.7209167480469,19.207778930664062,124.99331665039062,31.14827919006348,34.573543548583984,144.99696350097656,36.14901351928711,51.712284088134766,204.20823669433597,102.32198333740234,39.81563186645508,87.62999725341797,57.74119186401367,41.07418441772461,8.397805213928223,417.6611022949219,83.24267578125,119.14151763916016,43.38271331787109,28.23065757751465,110.34225463867188,11.665404319763184,112.587890625,35.667232513427734,198.4900054931641,155.10362243652344,275.7099914550781,120.6928253173828
2020-08-05,30.88199615478516,190.28634643554688,13.861892700195312,245.978759765625,174.27999877929688,67.55577087402344,14.321895599365234,158.18605041503906,68.46202087402344,172.43533325195312,58.47420501708984,61.45259475708008,82.91999816894531,141.86141967773438,179.94338989257812,59.40437316894531,42.17716598510742,175.46224975585938,86.78591918945312,25.289201736450195,73.30448913574219,8.577595710754395,298.01812744140625,19.12247085571289,124.6254653930664,30.884239196777344,35.64846420288086,144.5194091796875,36.00911331176758,51.55877304077149,208.6044921875,105.1234893798828,40.01824569702149,87.14800262451172,57.6363410949707,42.31046295166016,8.57831859588623,419.4053649902344,83.52525329589844,120.39385223388672,42.55393981933594,28.595117568969727,109.42872619628906,12.069475173950195,112.9880599975586,36.25324630737305,201.9600067138672,163.5126190185547,273.2300109863281,123.45516204833984
2020-08-06,30.760377883911133,187.48760986328125,13.315611839294434,244.5699920654297,172.1999969482422,68.61409759521484,14.330440521240234,156.5577850341797,68.36737060546875,170.5922088623047,57.46149826049805,61.390907287597656,82.29000091552734,142.60867309570312,182.0621337890625,59.614044189453125,42.430301666259766,177.56900024414062,86.9390640258789,25.567737579345703,74.58612060546875,8.475199699401855,299.244873046875,19.08497428894043,125.12928771972656,30.831417083740234,35.67777633666992,143.15234375,35.47761535644531,51.865821838378906,204.97784423828125,105.56336212158205,40.12261199951172,86.06600189208984,57.756160736083984,44.9313850402832,8.50767993927002,421.1014709472656,81.91463470458984,117.39608764648438,42.94441223144531,28.511598587036133,109.1242218017578,12.32421875,113.87359619140624,36.779666900634766,204.00999450683597,162.6350860595703,273.3399963378906,122.86392211914062
2020-08-07,31.724628448486328,187.3246307373047,13.264396667480469,243.446533203125,170.02000427246094,68.7194595336914,14.31316375732422,161.18931579589844,70.27767181396484,173.24386596679688,59.5444221496582,62.15414810180664,82.37000274658203,139.7361297607422,182.7183532714844,60.57373428344727,43.6563720703125,180.16015625,88.06510925292969,25.66378402709961,74.26002502441406,9.058065414428713,296.5612487792969,19.01561164855957,125.76101684570312,31.01626205444336,36.899295806884766,143.19911193847656,34.973358154296875,52.534122467041016,211.63470458984372,107.1400375366211,40.78876876831055,86.24199676513672,58.040748596191406,45.85117721557617,8.837316513061523,424.87896728515625,84.24104309082031,117.67220306396484,43.58192825317383,29.65814018249512,111.44186401367188,12.745859146118164,113.72032928466795,37.325950622558594,203.8800048828125,167.39891052246094,272.989990234375,128.7674102783203
2020-08-10,32.54987716674805,184.83262634277344,13.896036148071287,243.0576019287109,179.41000366210938,69.271728515625,14.909187316894531,165.54039001464844,71.78355407714844,182.7203063964844,61.04775238037109,61.76869583129883,82.5999984741211,136.5433349609375,183.0934295654297,60.79149627685547,43.79085159301758,180.39425659179688,89.86676788330078,26.87397575378418,74.18319702148438,9.357376098632812,291.5296630859375,19.038105010986328,126.4247589111328,30.831417083740234,37.72014236450195,143.26470947265625,35.28512191772461,52.67862319946289,214.91505432128903,109.2445297241211,40.37741088867188,87.73600006103516,58.69228363037109,47.67098617553711,9.025679588317873,425.28369140625,87.13261413574219,116.95235443115234,43.884742736816406,29.931486129760746,112.44844818115234,13.554004669189451,115.29550170898438,38.59729766845703,219.1199951171875,174.79531860351562,268.7300109863281,127.843505859375
2020-08-11,33.036354064941406,185.51315307617188,13.30707550048828,243.3687896728516,180.1300048828125,70.7021484375,14.840080261230469,164.97955322265625,71.52542877197266,184.3460235595703,63.058223724365234,60.56599044799805,81.7300033569336,131.6910400390625,183.95587158203125,59.0817985534668,43.30833053588867,177.20579528808594,92.04678344726562,27.392635345458984,73.37635803222656,9.191967010498049,286.7566833496094,18.79906845092773,124.58548736572266,30.153703689575195,37.729923248291016,141.0454864501953,34.651275634765625,51.63101196289063,216.9737091064453,110.55730438232422,40.05200958251953,84.27200317382812,58.95440673828125,49.312767028808594,9.36316204071045,418.9138793945313,88.15925598144531,116.07472229003906,43.183475494384766,30.90338516235352,111.41648864746094,13.641844749450684,115.8319091796875,38.41851425170898,216.19000244140625,169.35650634765625,261.8599853515625,127.68641662597656
2020-08-12,32.6801872253418,184.15208435058597,13.443645477294922,246.65284729003903,175.44000244140625,70.81846618652344,15.142414093017578,166.73446655273438,69.7097396850586,185.35450744628903,61.717918395996094,61.35236358642578,82.45999908447266,135.76698303222656,186.2715301513672,59.88825225830078,43.36370468139648,178.56190490722656,92.3800811767578,26.921998977661133,74.69961547851562,9.113203048706056,292.0759582519531,19.498374938964844,127.02455139160156,30.461767196655277,37.270626068115234,142.8433380126953,35.82599639892578,52.57024765014648,212.7120819091797,111.15280151367188,40.03666305541992,85.4260025024414,59.68087387084961,48.93692779541016,9.35531234741211,430.4682922363281,88.60191345214844,118.20471954345705,43.71739959716797,30.98690795898437,113.85256958007812,13.70333480834961,118.04574584960938,37.931827545166016,217.77999877929688,172.230224609375,270.8500061035156,128.0282440185547
2020-08-13,32.793121337890625,186.58663940429688,13.16197109222412,249.1678009033203,174.72999572753906,70.22703552246094,14.788256645202637,163.6226806640625,68.4792251586914,182.77239990234372,61.25604248046875,61.14419555664063,81.66999816894531,137.5817108154297,184.2652282714844,59.49308013916016,42.32746124267578,174.38058471679688,92.0262451171875,26.46097755432129,75.16598510742188,8.87690544128418,293.9543762207031,19.68211555480957,126.7206802368164,30.60333251953125,36.99700927734375,141.57302856445312,35.40342330932617,52.57928085327149,211.2787628173828,112.2354736328125,39.993690490722656,87.68399810791016,58.52004623413086,48.7292366027832,9.119860649108888,436.7127685546875,87.6600570678711,118.33287811279295,43.83691787719727,29.80455207824707,114.03020477294922,13.554004669189451,116.77704620361328,37.1372299194336,222.4199981689453,172.0084228515625,267.1499938964844,127.40930938720705
